"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"64206","https://toiletmap.gov.au/facility/64206","Goroke Recreation Reserve","Park or reserve","85 Main Street","Goroke","VIC","","-36.72227012","141.46800037","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Variable hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64207","https://toiletmap.gov.au/facility/64207","Flaggy Rock Community and Recreation Centre","Camping ground","5 Flaggy Street","Clairview","QLD","","-21.96807178","149.44478399","True","False","","False","False","False","False","Park out the front","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 7:30am-5pm","","True","True","False","False","False","False","False","False","","False","False","True","False","False"
"64208","https://toiletmap.gov.au/facility/64208","BP Tanunda","Service station","212 Murray Street","Tanunda","SA","","-34.51141460","138.97571190","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","True","False","False"
"64209","https://toiletmap.gov.au/facility/64209","Singleton Rest Area","Rest area","126 John Street","Singleton","NSW","","-32.56444519","151.16688927","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","True","False","False"
"64214","https://toiletmap.gov.au/facility/64214","Wearing Street","Park or reserve","21 Wearing Street","Port Noarlunga","SA","","-35.15161438","138.47223733","True","False","Car park for the reserve.","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","","True","False","True","False","False"
"64216","https://toiletmap.gov.au/facility/64216","Shadforth Reserve","Park or reserve","50 Shiffner Street","Violet Town","VIC","Outside the Mens Shed","-36.63681991","145.73964591","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64217","https://toiletmap.gov.au/facility/64217","Perrys Lookdown","Car park","Perrys Lookdown Walking Track","Blue Mountains National Park","NSW","","-33.59949932","150.34600270","True","False","","False","False","False","False","Short distance from Parking along wide gravel path","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","True","True","False","True","Wash basin inside Accessible toilet cubicle. Doors swing inwards both toilets","False","False","False","False","False"
"64219","https://toiletmap.gov.au/facility/64219","Knob Reserve","Park or reserve","The Knob Recreational Reserve","Stratford","VIC","","-37.98387909","147.10034484","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","False","False","True","False","False","False","False","False","","False","True","False","False","False"
"64220","https://toiletmap.gov.au/facility/64220","Dakers Oval","Park or reserve","51 Ogilvy St","Blayney","NSW","","-33.52869404","149.25806493","False","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","True","False","False","","False","False","False","False","False"
"64223","https://toiletmap.gov.au/facility/64223","Louisa Park","Park or reserve","88 Merinda Street","Hargraves","NSW","Louisa Park","-32.78600060","149.46278680","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","True","False","False","long drop","False","False","False","False","False"
"64224","https://toiletmap.gov.au/facility/64224","Caboolture Square","Shopping centre","60 King Street","Caboolture","QLD","","-27.08512620","152.94963230","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Mon-Sat 7am-8pm, Sun 9am-6pm","","True","True","False","False","False","True","False","False","","False","False","True","False","False"
"64225","https://toiletmap.gov.au/facility/64225","Lightwood Parklands Playground","Park or reserve","7 Waterside Esplanade","Caboolture South","QLD","","-27.09228640","152.96109490","True","False","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: 24 hours","","True","True","True","False","False","True","False","False","","False","False","False","False","False"
"64226","https://toiletmap.gov.au/facility/64226","Australian National Botanic Gardens - Conservatory","Park or reserve","Frith Road","Acton","ACT","","-35.27677831","149.10912574","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 8:30am-5pm","","True","True","False","False","False","False","False","False","","True","False","True","False","False"
"64227","https://toiletmap.gov.au/facility/64227","Suma Park Bellarine Rail Trail ","Park or reserve","2135 Bellarine Highway","Marcus Hill","VIC","Suma Park on the Bellarine Rail Trail ","-38.25305991","144.59979085","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","True","False","False","True","False","True","Only accessible via the Bellarine Rail Trail by foot or push bike.","False","False","False","False","False"
"64229","https://toiletmap.gov.au/facility/64229","Victoria Park Central Shopping Centre","Shopping centre","366 Albany Highway","Victoria Park","WA","Located to the right of the Coles entrance.","-31.97371674","115.89714532","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Thu 9am-9pm, Sun 11am-5pm, Mon-Wed,Fri 9am-5:30pm, Sat 9am-5pm","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64231","https://toiletmap.gov.au/facility/64231","Box Hill Library","Community building","1040 Whitehorse Rd","Box Hill","VIC","","-37.81916980","145.12788660","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Sun 1pm-4pm, Sat 9am-5pm, Mon-Fri 10am-8pm","","True","False","False","False","True","True","False","False","","False","False","False","False","False"
"64233","https://toiletmap.gov.au/facility/64233","Helen Plaza Centre","Shopping centre","Helensvale Plaza Medical Centre","Helensvale","QLD","","-27.92362781","153.33472625","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Sun 9am-6pm, Mon-Sat 7am-9pm","","True","True","False","False","True","True","False","True","","False","False","True","True","False"
"64235","https://toiletmap.gov.au/facility/64235","State Library Victoria","Community building","328 Swanston Street","Melbourne","VIC","Ground floor of Library next to Mr Tulk Cafe.","-37.80982740","144.96518470","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 10am-6pm","Closed on New Year’s Day, Good Friday, Christmas Day and Boxing Day.","True","True","False","False","False","True","False","False","","False","True","False","False","False"
"64236","https://toiletmap.gov.au/facility/64236","KFC Berwick North","Food outlet","15 Clyde Road","Berwick","VIC","","-38.03309700","145.34359670","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Thu 10am-11pm, Sat 10am-12am, Mon-Wed,Fri,Sun 10am-10pm","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"64237","https://toiletmap.gov.au/facility/64237","Treeby Shopping Centre","Shopping centre","30 Basanite Loop","Treeby","WA","Toilets located through automatic doors next to the liquor store.","-32.11902624","115.87779216","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 7am-9pm","","True","True","True","False","False","True","False","False","","False","False","False","False","False"
"64243","https://toiletmap.gov.au/facility/64243","Aldi Shops","Shopping centre","146 Blunder Road","Oxley","QLD","","-27.57496967","152.98308417","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: 9am-10pm","","True","True","False","False","False","True","False","False","Down alley way between shops. Easy access. Disability parking nearby","True","True","True","False","False"
"64244","https://toiletmap.gov.au/facility/64244","McDonald’s Drouin","Food outlet","77 Young St","Drouin","VIC","","-38.13420710","145.85703050","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"64249","https://toiletmap.gov.au/facility/64249","Bendemeer","Camping ground","Selina Street","Bendemeer","NSW","","-30.88668264","151.15695304","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","True","True","True","False"
"64250","https://toiletmap.gov.au/facility/64250","Klemzig Interchange","Bus station","O G Road","Klemzig","SA","Adjacent to the car park located on First Avenue.","-34.88629680","138.63935717","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","False","False","True","False","False","True","False","False","","False","False","False","False","False"
"64251","https://toiletmap.gov.au/facility/64251","Lara Train Station","Train station","Hicks St","Lara","VIC","","-38.02325980","144.41479820","False","False","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Sat 5:30am-9:30pm, Mon-Fri 4:50am-9:30pm, Sun 6:55am-9:30pm","","True","True","True","False","False","True","False","False","","False","False","False","False","False"
"64252","https://toiletmap.gov.au/facility/64252","Flinders Memorial Park","Cemetery","Flinders Memorial Park","Lara","VIC","","-38.03826832","144.39071889","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","True","False","False","True","False","False","","False","False","False","False","False"
"64253","https://toiletmap.gov.au/facility/64253","Maniana Park","Community building","24 Whitlock Road","Queens Park","WA","In the community building, entry via Whitlock Road.","-32.00216257","115.95603100","True","False","Parking in front of building.","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","False","False","False","True","True","True","True","False","","False","True","False","False","False"
