"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"2009M10";"12-måneders endring (prosent)";0,7
"TOTAL Totalindeks";"2009M11";"Konsumprisindeks (2015=100)";90,5
"TOTAL Totalindeks";"2009M11";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2009M11";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2009M12";"Konsumprisindeks (2015=100)";90,8
"TOTAL Totalindeks";"2009M12";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2009M12";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2010M01";"Konsumprisindeks (2015=100)";90,9
"TOTAL Totalindeks";"2010M01";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2010M01";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2010M02";"Konsumprisindeks (2015=100)";92
"TOTAL Totalindeks";"2010M02";"Månedsendring (prosent)";1,2
"TOTAL Totalindeks";"2010M02";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2010M03";"Konsumprisindeks (2015=100)";92,5
"TOTAL Totalindeks";"2010M03";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2010M03";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2010M04";"Konsumprisindeks (2015=100)";92,7
"TOTAL Totalindeks";"2010M04";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2010M04";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2010M05";"Konsumprisindeks (2015=100)";92,2
"TOTAL Totalindeks";"2010M05";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2010M05";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2010M06";"Konsumprisindeks (2015=100)";92,1
"TOTAL Totalindeks";"2010M06";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2010M06";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2010M07";"Konsumprisindeks (2015=100)";91,6
"TOTAL Totalindeks";"2010M07";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2010M07";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2010M08";"Konsumprisindeks (2015=100)";91,4
"TOTAL Totalindeks";"2010M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2010M08";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2010M09";"Konsumprisindeks (2015=100)";92
"TOTAL Totalindeks";"2010M09";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2010M09";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2010M10";"Konsumprisindeks (2015=100)";92,1
"TOTAL Totalindeks";"2010M10";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2010M10";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2010M11";"Konsumprisindeks (2015=100)";92,3
"TOTAL Totalindeks";"2010M11";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2010M11";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2010M12";"Konsumprisindeks (2015=100)";93,3
"TOTAL Totalindeks";"2010M12";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"2010M12";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"2011M01";"Konsumprisindeks (2015=100)";92,7
"TOTAL Totalindeks";"2011M01";"Månedsendring (prosent)";-0,6
"TOTAL Totalindeks";"2011M01";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2011M02";"Konsumprisindeks (2015=100)";93,1
"TOTAL Totalindeks";"2011M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2011M02";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2011M03";"Konsumprisindeks (2015=100)";93,4
"TOTAL Totalindeks";"2011M03";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2011M03";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2011M04";"Konsumprisindeks (2015=100)";93,9
"TOTAL Totalindeks";"2011M04";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2011M04";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2011M05";"Konsumprisindeks (2015=100)";93,7
"TOTAL Totalindeks";"2011M05";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2011M05";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2011M06";"Konsumprisindeks (2015=100)";93,4
"TOTAL Totalindeks";"2011M06";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2011M06";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2011M07";"Konsumprisindeks (2015=100)";93,1
"TOTAL Totalindeks";"2011M07";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2011M07";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2011M08";"Konsumprisindeks (2015=100)";92,6
"TOTAL Totalindeks";"2011M08";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2011M08";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2011M09";"Konsumprisindeks (2015=100)";93,4
"TOTAL Totalindeks";"2011M09";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"2011M09";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2011M10";"Konsumprisindeks (2015=100)";93,3
"TOTAL Totalindeks";"2011M10";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2011M10";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2011M11";"Konsumprisindeks (2015=100)";93,3
"TOTAL Totalindeks";"2011M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2011M11";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"2011M12";"Konsumprisindeks (2015=100)";93,4
"TOTAL Totalindeks";"2011M12";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2011M12";"12-måneders endring (prosent)";0,1
"TOTAL Totalindeks";"2012M01";"Konsumprisindeks (2015=100)";93,2
"TOTAL Totalindeks";"2012M01";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2012M01";"12-måneders endring (prosent)";0,5
"TOTAL Totalindeks";"2012M02";"Konsumprisindeks (2015=100)";94,2
"TOTAL Totalindeks";"2012M02";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"2012M02";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2012M03";"Konsumprisindeks (2015=100)";94,1
"TOTAL Totalindeks";"2012M03";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2012M03";"12-måneders endring (prosent)";0,7
"TOTAL Totalindeks";"2012M04";"Konsumprisindeks (2015=100)";94,2
"TOTAL Totalindeks";"2012M04";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2012M04";"12-måneders endring (prosent)";0,3
"TOTAL Totalindeks";"2012M05";"Konsumprisindeks (2015=100)";94,2
"TOTAL Totalindeks";"2012M05";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2012M05";"12-måneders endring (prosent)";0,5
"TOTAL Totalindeks";"2012M06";"Konsumprisindeks (2015=100)";93,7
"TOTAL Totalindeks";"2012M06";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2012M06";"12-måneders endring (prosent)";0,3
"TOTAL Totalindeks";"2012M07";"Konsumprisindeks (2015=100)";93,3
"TOTAL Totalindeks";"2012M07";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2012M07";"12-måneders endring (prosent)";0,2
"TOTAL Totalindeks";"2012M08";"Konsumprisindeks (2015=100)";92,9
"TOTAL Totalindeks";"2012M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2012M08";"12-måneders endring (prosent)";0,3
"TOTAL Totalindeks";"2012M09";"Konsumprisindeks (2015=100)";93,9
"TOTAL Totalindeks";"2012M09";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"2012M09";"12-måneders endring (prosent)";0,5
"TOTAL Totalindeks";"2012M10";"Konsumprisindeks (2015=100)";94,3
"TOTAL Totalindeks";"2012M10";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2012M10";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"2012M11";"Konsumprisindeks (2015=100)";94,4
"TOTAL Totalindeks";"2012M11";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2012M11";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2012M12";"Konsumprisindeks (2015=100)";94,7
"TOTAL Totalindeks";"2012M12";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2012M12";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2013M01";"Konsumprisindeks (2015=100)";94,5
"TOTAL Totalindeks";"2013M01";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2013M01";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2013M02";"Konsumprisindeks (2015=100)";95,1
"TOTAL Totalindeks";"2013M02";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2013M02";"12-måneders endring (prosent)";1
"TOTAL Totalindeks";"2013M03";"Konsumprisindeks (2015=100)";95,4
"TOTAL Totalindeks";"2013M03";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2013M03";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2013M04";"Konsumprisindeks (2015=100)";95,9
"TOTAL Totalindeks";"2013M04";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2013M04";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2013M05";"Konsumprisindeks (2015=100)";96
"TOTAL Totalindeks";"2013M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2013M05";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2013M06";"Konsumprisindeks (2015=100)";95,7
"TOTAL Totalindeks";"2013M06";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2013M06";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2013M07";"Konsumprisindeks (2015=100)";96,1
"TOTAL Totalindeks";"2013M07";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2013M07";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2013M08";"Konsumprisindeks (2015=100)";96
"TOTAL Totalindeks";"2013M08";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2013M08";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2013M09";"Konsumprisindeks (2015=100)";96,4
"TOTAL Totalindeks";"2013M09";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2013M09";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2013M10";"Konsumprisindeks (2015=100)";96,6
"TOTAL Totalindeks";"2013M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2013M10";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"2013M11";"Konsumprisindeks (2015=100)";96,7
"TOTAL Totalindeks";"2013M11";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2013M11";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"2013M12";"Konsumprisindeks (2015=100)";96,6
"TOTAL Totalindeks";"2013M12";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2013M12";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2014M01";"Konsumprisindeks (2015=100)";96,6
"TOTAL Totalindeks";"2014M01";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2014M01";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2014M02";"Konsumprisindeks (2015=100)";97,1
"TOTAL Totalindeks";"2014M02";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2014M02";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2014M03";"Konsumprisindeks (2015=100)";97,3
"TOTAL Totalindeks";"2014M03";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2014M03";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2014M04";"Konsumprisindeks (2015=100)";97,7
"TOTAL Totalindeks";"2014M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2014M04";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2014M05";"Konsumprisindeks (2015=100)";97,8
"TOTAL Totalindeks";"2014M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2014M05";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2014M06";"Konsumprisindeks (2015=100)";97,5
"TOTAL Totalindeks";"2014M06";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2014M06";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2014M07";"Konsumprisindeks (2015=100)";98,3
"TOTAL Totalindeks";"2014M07";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2014M07";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2014M08";"Konsumprisindeks (2015=100)";97,9
"TOTAL Totalindeks";"2014M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2014M08";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2014M09";"Konsumprisindeks (2015=100)";98,5
"TOTAL Totalindeks";"2014M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2014M09";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2014M10";"Konsumprisindeks (2015=100)";98,6
"TOTAL Totalindeks";"2014M10";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2014M10";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2014M11";"Konsumprisindeks (2015=100)";98,6
"TOTAL Totalindeks";"2014M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2014M11";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2014M12";"Konsumprisindeks (2015=100)";98,6
"TOTAL Totalindeks";"2014M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2014M12";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2015M01";"Konsumprisindeks (2015=100)";98,6
"TOTAL Totalindeks";"2015M01";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2015M01";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2015M02";"Konsumprisindeks (2015=100)";98,9
"TOTAL Totalindeks";"2015M02";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2015M02";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2015M03";"Konsumprisindeks (2015=100)";99,2
"TOTAL Totalindeks";"2015M03";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2015M03";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2015M04";"Konsumprisindeks (2015=100)";99,6
"TOTAL Totalindeks";"2015M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2015M04";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2015M05";"Konsumprisindeks (2015=100)";99,8
"TOTAL Totalindeks";"2015M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2015M05";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2015M06";"Konsumprisindeks (2015=100)";100,1
"TOTAL Totalindeks";"2015M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2015M06";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2015M07";"Konsumprisindeks (2015=100)";100,1
"TOTAL Totalindeks";"2015M07";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2015M07";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2015M08";"Konsumprisindeks (2015=100)";99,9
"TOTAL Totalindeks";"2015M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2015M08";"12-måneders endring (prosent)";2
"TOTAL Totalindeks";"2015M09";"Konsumprisindeks (2015=100)";100,6
"TOTAL Totalindeks";"2015M09";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2015M09";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2015M10";"Konsumprisindeks (2015=100)";101
"TOTAL Totalindeks";"2015M10";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2015M10";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"2015M11";"Konsumprisindeks (2015=100)";101,3
"TOTAL Totalindeks";"2015M11";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2015M11";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2015M12";"Konsumprisindeks (2015=100)";100,9
"TOTAL Totalindeks";"2015M12";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2015M12";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2016M01";"Konsumprisindeks (2015=100)";101,5
"TOTAL Totalindeks";"2016M01";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2016M01";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2016M02";"Konsumprisindeks (2015=100)";102,1
"TOTAL Totalindeks";"2016M02";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2016M02";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2016M03";"Konsumprisindeks (2015=100)";102,5
"TOTAL Totalindeks";"2016M03";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2016M03";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2016M04";"Konsumprisindeks (2015=100)";102,9
"TOTAL Totalindeks";"2016M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2016M04";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2016M05";"Konsumprisindeks (2015=100)";103,2
"TOTAL Totalindeks";"2016M05";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2016M05";"12-måneders endring (prosent)";3,4
"TOTAL Totalindeks";"2016M06";"Konsumprisindeks (2015=100)";103,8
"TOTAL Totalindeks";"2016M06";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2016M06";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"2016M07";"Konsumprisindeks (2015=100)";104,5
"TOTAL Totalindeks";"2016M07";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2016M07";"12-måneders endring (prosent)";4,4
"TOTAL Totalindeks";"2016M08";"Konsumprisindeks (2015=100)";103,9
"TOTAL Totalindeks";"2016M08";"Månedsendring (prosent)";-0,6
"TOTAL Totalindeks";"2016M08";"12-måneders endring (prosent)";4
"TOTAL Totalindeks";"2016M09";"Konsumprisindeks (2015=100)";104,2
"TOTAL Totalindeks";"2016M09";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2016M09";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2016M10";"Konsumprisindeks (2015=100)";104,7
"TOTAL Totalindeks";"2016M10";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2016M10";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"2016M11";"Konsumprisindeks (2015=100)";104,9
"TOTAL Totalindeks";"2016M11";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2016M11";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2016M12";"Konsumprisindeks (2015=100)";104,4
"TOTAL Totalindeks";"2016M12";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2016M12";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2017M01";"Konsumprisindeks (2015=100)";104,3
"TOTAL Totalindeks";"2017M01";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2017M01";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"2017M02";"Konsumprisindeks (2015=100)";104,7
"TOTAL Totalindeks";"2017M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2017M02";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2017M03";"Konsumprisindeks (2015=100)";105
"TOTAL Totalindeks";"2017M03";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2017M03";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"2017M04";"Konsumprisindeks (2015=100)";105,2
"TOTAL Totalindeks";"2017M04";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2017M04";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2017M05";"Konsumprisindeks (2015=100)";105,4
"TOTAL Totalindeks";"2017M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2017M05";"12-måneders endring (prosent)";2,1
"TOTAL Totalindeks";"2017M06";"Konsumprisindeks (2015=100)";105,8
"TOTAL Totalindeks";"2017M06";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2017M06";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2017M07";"Konsumprisindeks (2015=100)";106,1
"TOTAL Totalindeks";"2017M07";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2017M07";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2017M08";"Konsumprisindeks (2015=100)";105,3
"TOTAL Totalindeks";"2017M08";"Månedsendring (prosent)";-0,8
"TOTAL Totalindeks";"2017M08";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2017M09";"Konsumprisindeks (2015=100)";105,9
"TOTAL Totalindeks";"2017M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2017M09";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2017M10";"Konsumprisindeks (2015=100)";106
"TOTAL Totalindeks";"2017M10";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2017M10";"12-måneders endring (prosent)";1,2
"TOTAL Totalindeks";"2017M11";"Konsumprisindeks (2015=100)";106,1
"TOTAL Totalindeks";"2017M11";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2017M11";"12-måneders endring (prosent)";1,1
"TOTAL Totalindeks";"2017M12";"Konsumprisindeks (2015=100)";106,1
"TOTAL Totalindeks";"2017M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2017M12";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2018M01";"Konsumprisindeks (2015=100)";106
"TOTAL Totalindeks";"2018M01";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2018M01";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2018M02";"Konsumprisindeks (2015=100)";107
"TOTAL Totalindeks";"2018M02";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"2018M02";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2018M03";"Konsumprisindeks (2015=100)";107,3
"TOTAL Totalindeks";"2018M03";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2018M03";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2018M04";"Konsumprisindeks (2015=100)";107,7
"TOTAL Totalindeks";"2018M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2018M04";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"2018M05";"Konsumprisindeks (2015=100)";107,8
"TOTAL Totalindeks";"2018M05";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2018M05";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2018M06";"Konsumprisindeks (2015=100)";108,5
"TOTAL Totalindeks";"2018M06";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2018M06";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2018M07";"Konsumprisindeks (2015=100)";109,3
"TOTAL Totalindeks";"2018M07";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2018M07";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2018M08";"Konsumprisindeks (2015=100)";108,9
"TOTAL Totalindeks";"2018M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2018M08";"12-måneders endring (prosent)";3,4
"TOTAL Totalindeks";"2018M09";"Konsumprisindeks (2015=100)";109,5
"TOTAL Totalindeks";"2018M09";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2018M09";"12-måneders endring (prosent)";3,4
"TOTAL Totalindeks";"2018M10";"Konsumprisindeks (2015=100)";109,3
"TOTAL Totalindeks";"2018M10";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2018M10";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2018M11";"Konsumprisindeks (2015=100)";109,8
"TOTAL Totalindeks";"2018M11";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2018M11";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2018M12";"Konsumprisindeks (2015=100)";109,8
"TOTAL Totalindeks";"2018M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2018M12";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2019M01";"Konsumprisindeks (2015=100)";109,3
"TOTAL Totalindeks";"2019M01";"Månedsendring (prosent)";-0,5
"TOTAL Totalindeks";"2019M01";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2019M02";"Konsumprisindeks (2015=100)";110,2
"TOTAL Totalindeks";"2019M02";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2019M02";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2019M03";"Konsumprisindeks (2015=100)";110,4
"TOTAL Totalindeks";"2019M03";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2019M03";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2019M04";"Konsumprisindeks (2015=100)";110,8
"TOTAL Totalindeks";"2019M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2019M04";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2019M05";"Konsumprisindeks (2015=100)";110,5
"TOTAL Totalindeks";"2019M05";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2019M05";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2019M06";"Konsumprisindeks (2015=100)";110,6
"TOTAL Totalindeks";"2019M06";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2019M06";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2019M07";"Konsumprisindeks (2015=100)";111,4
"TOTAL Totalindeks";"2019M07";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2019M07";"12-måneders endring (prosent)";1,9
"TOTAL Totalindeks";"2019M08";"Konsumprisindeks (2015=100)";110,6
"TOTAL Totalindeks";"2019M08";"Månedsendring (prosent)";-0,7
"TOTAL Totalindeks";"2019M08";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2019M09";"Konsumprisindeks (2015=100)";111,1
"TOTAL Totalindeks";"2019M09";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2019M09";"12-måneders endring (prosent)";1,5
"TOTAL Totalindeks";"2019M10";"Konsumprisindeks (2015=100)";111,3
"TOTAL Totalindeks";"2019M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2019M10";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2019M11";"Konsumprisindeks (2015=100)";111,6
"TOTAL Totalindeks";"2019M11";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2019M11";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2019M12";"Konsumprisindeks (2015=100)";111,3
"TOTAL Totalindeks";"2019M12";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2019M12";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2020M01";"Konsumprisindeks (2015=100)";111,3
"TOTAL Totalindeks";"2020M01";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2020M01";"12-måneders endring (prosent)";1,8
"TOTAL Totalindeks";"2020M02";"Konsumprisindeks (2015=100)";111,2
