"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1983M04";"12-måneders endring (prosent)";9,2
"TOTAL Totalindeks";"1983M05";"Konsumprisindeks (2015=100)";39,1
"TOTAL Totalindeks";"1983M05";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"1983M05";"12-måneders endring (prosent)";9,2
"TOTAL Totalindeks";"1983M06";"Konsumprisindeks (2015=100)";39,3
"TOTAL Totalindeks";"1983M06";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1983M06";"12-måneders endring (prosent)";8,9
"TOTAL Totalindeks";"1983M07";"Konsumprisindeks (2015=100)";39,6
"TOTAL Totalindeks";"1983M07";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1983M07";"12-måneders endring (prosent)";7,9
"TOTAL Totalindeks";"1983M08";"Konsumprisindeks (2015=100)";39,5
"TOTAL Totalindeks";"1983M08";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"1983M08";"12-måneders endring (prosent)";7,6
"TOTAL Totalindeks";"1983M09";"Konsumprisindeks (2015=100)";39,9
"TOTAL Totalindeks";"1983M09";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"1983M09";"12-måneders endring (prosent)";7,8
"TOTAL Totalindeks";"1983M10";"Konsumprisindeks (2015=100)";40,1
"TOTAL Totalindeks";"1983M10";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1983M10";"12-måneders endring (prosent)";7,5
"TOTAL Totalindeks";"1983M11";"Konsumprisindeks (2015=100)";40,2
"TOTAL Totalindeks";"1983M11";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1983M11";"12-måneders endring (prosent)";7,2
"TOTAL Totalindeks";"1983M12";"Konsumprisindeks (2015=100)";40,4
"TOTAL Totalindeks";"1983M12";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1983M12";"12-måneders endring (prosent)";7,2
"TOTAL Totalindeks";"1984M01";"Konsumprisindeks (2015=100)";40,7
"TOTAL Totalindeks";"1984M01";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1984M01";"12-måneders endring (prosent)";6,3
"TOTAL Totalindeks";"1984M02";"Konsumprisindeks (2015=100)";40,9
"TOTAL Totalindeks";"1984M02";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1984M02";"12-måneders endring (prosent)";6,2
"TOTAL Totalindeks";"1984M03";"Konsumprisindeks (2015=100)";41,4
"TOTAL Totalindeks";"1984M03";"Månedsendring (prosent)";1,2
"TOTAL Totalindeks";"1984M03";"12-måneders endring (prosent)";6,4
"TOTAL Totalindeks";"1984M04";"Konsumprisindeks (2015=100)";41,6
"TOTAL Totalindeks";"1984M04";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1984M04";"12-måneders endring (prosent)";6,7
"TOTAL Totalindeks";"1984M05";"Konsumprisindeks (2015=100)";41,6
"TOTAL Totalindeks";"1984M05";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1984M05";"12-måneders endring (prosent)";6,4
"TOTAL Totalindeks";"1984M06";"Konsumprisindeks (2015=100)";41,8
"TOTAL Totalindeks";"1984M06";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1984M06";"12-måneders endring (prosent)";6,4
"TOTAL Totalindeks";"1984M07";"Konsumprisindeks (2015=100)";42
"TOTAL Totalindeks";"1984M07";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1984M07";"12-måneders endring (prosent)";6,1
"TOTAL Totalindeks";"1984M08";"Konsumprisindeks (2015=100)";42
"TOTAL Totalindeks";"1984M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1984M08";"12-måneders endring (prosent)";6,3
"TOTAL Totalindeks";"1984M09";"Konsumprisindeks (2015=100)";42,3
"TOTAL Totalindeks";"1984M09";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1984M09";"12-måneders endring (prosent)";6
"TOTAL Totalindeks";"1984M10";"Konsumprisindeks (2015=100)";42,5
"TOTAL Totalindeks";"1984M10";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1984M10";"12-måneders endring (prosent)";6
"TOTAL Totalindeks";"1984M11";"Konsumprisindeks (2015=100)";42,6
"TOTAL Totalindeks";"1984M11";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1984M11";"12-måneders endring (prosent)";6
"TOTAL Totalindeks";"1984M12";"Konsumprisindeks (2015=100)";42,8
"TOTAL Totalindeks";"1984M12";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1984M12";"12-måneders endring (prosent)";5,9
"TOTAL Totalindeks";"1985M01";"Konsumprisindeks (2015=100)";43,1
"TOTAL Totalindeks";"1985M01";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1985M01";"12-måneders endring (prosent)";5,9
"TOTAL Totalindeks";"1985M02";"Konsumprisindeks (2015=100)";43,2
"TOTAL Totalindeks";"1985M02";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1985M02";"12-måneders endring (prosent)";5,6
"TOTAL Totalindeks";"1985M03";"Konsumprisindeks (2015=100)";43,7
"TOTAL Totalindeks";"1985M03";"Månedsendring (prosent)";1,2
"TOTAL Totalindeks";"1985M03";"12-måneders endring (prosent)";5,6
"TOTAL Totalindeks";"1985M04";"Konsumprisindeks (2015=100)";43,9
"TOTAL Totalindeks";"1985M04";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1985M04";"12-måneders endring (prosent)";5,5
"TOTAL Totalindeks";"1985M05";"Konsumprisindeks (2015=100)";44
"TOTAL Totalindeks";"1985M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1985M05";"12-måneders endring (prosent)";5,8
"TOTAL Totalindeks";"1985M06";"Konsumprisindeks (2015=100)";44,3
"TOTAL Totalindeks";"1985M06";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1985M06";"12-måneders endring (prosent)";6
"TOTAL Totalindeks";"1985M07";"Konsumprisindeks (2015=100)";44,5
"TOTAL Totalindeks";"1985M07";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1985M07";"12-måneders endring (prosent)";6
"TOTAL Totalindeks";"1985M08";"Konsumprisindeks (2015=100)";44,3
"TOTAL Totalindeks";"1985M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"1985M08";"12-måneders endring (prosent)";5,5
"TOTAL Totalindeks";"1985M09";"Konsumprisindeks (2015=100)";44,8
"TOTAL Totalindeks";"1985M09";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"1985M09";"12-måneders endring (prosent)";5,9
"TOTAL Totalindeks";"1985M10";"Konsumprisindeks (2015=100)";44,9
"TOTAL Totalindeks";"1985M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1985M10";"12-måneders endring (prosent)";5,6
"TOTAL Totalindeks";"1985M11";"Konsumprisindeks (2015=100)";45
"TOTAL Totalindeks";"1985M11";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1985M11";"12-måneders endring (prosent)";5,6
"TOTAL Totalindeks";"1985M12";"Konsumprisindeks (2015=100)";45,2
"TOTAL Totalindeks";"1985M12";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1985M12";"12-måneders endring (prosent)";5,6
"TOTAL Totalindeks";"1986M01";"Konsumprisindeks (2015=100)";45,6
"TOTAL Totalindeks";"1986M01";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"1986M01";"12-måneders endring (prosent)";5,8
"TOTAL Totalindeks";"1986M02";"Konsumprisindeks (2015=100)";45,8
"TOTAL Totalindeks";"1986M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1986M02";"12-måneders endring (prosent)";6
"TOTAL Totalindeks";"1986M03";"Konsumprisindeks (2015=100)";46,1
"TOTAL Totalindeks";"1986M03";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1986M03";"12-måneders endring (prosent)";5,5
"TOTAL Totalindeks";"1986M04";"Konsumprisindeks (2015=100)";46,4
"TOTAL Totalindeks";"1986M04";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1986M04";"12-måneders endring (prosent)";5,7
"TOTAL Totalindeks";"1986M05";"Konsumprisindeks (2015=100)";46,5
"TOTAL Totalindeks";"1986M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1986M05";"12-måneders endring (prosent)";5,7
"TOTAL Totalindeks";"1986M06";"Konsumprisindeks (2015=100)";47,3
"TOTAL Totalindeks";"1986M06";"Månedsendring (prosent)";1,7
"TOTAL Totalindeks";"1986M06";"12-måneders endring (prosent)";6,8
"TOTAL Totalindeks";"1986M07";"Konsumprisindeks (2015=100)";47,8
"TOTAL Totalindeks";"1986M07";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"1986M07";"12-måneders endring (prosent)";7,4
"TOTAL Totalindeks";"1986M08";"Konsumprisindeks (2015=100)";47,9
"TOTAL Totalindeks";"1986M08";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1986M08";"12-måneders endring (prosent)";8,1
"TOTAL Totalindeks";"1986M09";"Konsumprisindeks (2015=100)";48,6
"TOTAL Totalindeks";"1986M09";"Månedsendring (prosent)";1,5
"TOTAL Totalindeks";"1986M09";"12-måneders endring (prosent)";8,5
"TOTAL Totalindeks";"1986M10";"Konsumprisindeks (2015=100)";48,8
"TOTAL Totalindeks";"1986M10";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1986M10";"12-måneders endring (prosent)";8,7
"TOTAL Totalindeks";"1986M11";"Konsumprisindeks (2015=100)";49
"TOTAL Totalindeks";"1986M11";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1986M11";"12-måneders endring (prosent)";8,9
"TOTAL Totalindeks";"1986M12";"Konsumprisindeks (2015=100)";49,2
"TOTAL Totalindeks";"1986M12";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1986M12";"12-måneders endring (prosent)";8,8
"TOTAL Totalindeks";"1987M01";"Konsumprisindeks (2015=100)";49,9
"TOTAL Totalindeks";"1987M01";"Månedsendring (prosent)";1,4
"TOTAL Totalindeks";"1987M01";"12-måneders endring (prosent)";9,4
"TOTAL Totalindeks";"1987M02";"Konsumprisindeks (2015=100)";50,4
"TOTAL Totalindeks";"1987M02";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"1987M02";"12-måneders endring (prosent)";10
"TOTAL Totalindeks";"1987M03";"Konsumprisindeks (2015=100)";50,9
"TOTAL Totalindeks";"1987M03";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"1987M03";"12-måneders endring (prosent)";10,4
"TOTAL Totalindeks";"1987M04";"Konsumprisindeks (2015=100)";51,1
"TOTAL Totalindeks";"1987M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1987M04";"12-måneders endring (prosent)";10,1
"TOTAL Totalindeks";"1987M05";"Konsumprisindeks (2015=100)";51,2
"TOTAL Totalindeks";"1987M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1987M05";"12-måneders endring (prosent)";10,1
"TOTAL Totalindeks";"1987M06";"Konsumprisindeks (2015=100)";51,5
"TOTAL Totalindeks";"1987M06";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1987M06";"12-måneders endring (prosent)";8,9
"TOTAL Totalindeks";"1987M07";"Konsumprisindeks (2015=100)";51,6
"TOTAL Totalindeks";"1987M07";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1987M07";"12-måneders endring (prosent)";7,9
"TOTAL Totalindeks";"1987M08";"Konsumprisindeks (2015=100)";51,7
"TOTAL Totalindeks";"1987M08";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1987M08";"12-måneders endring (prosent)";7,9
"TOTAL Totalindeks";"1987M09";"Konsumprisindeks (2015=100)";52,4
"TOTAL Totalindeks";"1987M09";"Månedsendring (prosent)";1,4
"TOTAL Totalindeks";"1987M09";"12-måneders endring (prosent)";7,8
"TOTAL Totalindeks";"1987M10";"Konsumprisindeks (2015=100)";52,5
"TOTAL Totalindeks";"1987M10";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1987M10";"12-måneders endring (prosent)";7,6
"TOTAL Totalindeks";"1987M11";"Konsumprisindeks (2015=100)";52,6
"TOTAL Totalindeks";"1987M11";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1987M11";"12-måneders endring (prosent)";7,3
"TOTAL Totalindeks";"1987M12";"Konsumprisindeks (2015=100)";52,8
"TOTAL Totalindeks";"1987M12";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1987M12";"12-måneders endring (prosent)";7,3
"TOTAL Totalindeks";"1988M01";"Konsumprisindeks (2015=100)";53,5
"TOTAL Totalindeks";"1988M01";"Månedsendring (prosent)";1,3
"TOTAL Totalindeks";"1988M01";"12-måneders endring (prosent)";7,2
"TOTAL Totalindeks";"1988M02";"Konsumprisindeks (2015=100)";53,8
"TOTAL Totalindeks";"1988M02";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"1988M02";"12-måneders endring (prosent)";6,7
"TOTAL Totalindeks";"1988M03";"Konsumprisindeks (2015=100)";54,6
"TOTAL Totalindeks";"1988M03";"Månedsendring (prosent)";1,5
"TOTAL Totalindeks";"1988M03";"12-måneders endring (prosent)";7,3
"TOTAL Totalindeks";"1988M04";"Konsumprisindeks (2015=100)";54,7
"TOTAL Totalindeks";"1988M04";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1988M04";"12-måneders endring (prosent)";7
"TOTAL Totalindeks";"1988M05";"Konsumprisindeks (2015=100)";54,8
"TOTAL Totalindeks";"1988M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"1988M05";"12-måneders endring (prosent)";7
"TOTAL Totalindeks";"1988M06";"Konsumprisindeks (2015=100)";55,1
"TOTAL Totalindeks";"1988M06";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"1988M06";"12-måneders endring (prosent)";7
"TOTAL Totalindeks";"1988M07";"Konsumprisindeks (2015=100)";55,1
"TOTAL Totalindeks";"1988M07";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1988M07";"12-måneders endring (prosent)";6,8
"TOTAL Totalindeks";"1988M08";"Konsumprisindeks (2015=100)";55,1
"TOTAL Totalindeks";"1988M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1988M08";"12-måneders endring (prosent)";6,6
"TOTAL Totalindeks";"1988M09";"Konsumprisindeks (2015=100)";55,8
"TOTAL Totalindeks";"1988M09";"Månedsendring (prosent)";1,3
"TOTAL Totalindeks";"1988M09";"12-måneders endring (prosent)";6,5
"TOTAL Totalindeks";"1988M10";"Konsumprisindeks (2015=100)";55,8
"TOTAL Totalindeks";"1988M10";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1988M10";"12-måneders endring (prosent)";6,3
"TOTAL Totalindeks";"1988M11";"Konsumprisindeks (2015=100)";55,8
