07459: Befolkning, etter region, statistikkvariabel, år og alder;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Personer;;;;;;;;;;;;;;;;;;;;
;2023;;;;;;;;;;;;;;;;;;;;
;0-4 år;5-9 år;10-14 år;15-19 år;20-24 år;25-29 år;30-34 år;35-39 år;40-44 år;45-49 år;50-54 år;55-59 år;60-64 år;65-69 år;70-74 år;75-79 år;80-84 år;85-89 år;90-94 år;95-99 år;100 år eller eldre
K-4626 Øygarden;2240;2637;2783;2658;2269;2196;2653;2616;2707;2638;2854;2549;2143;1952;1776;1399;733;339;163;56;7
K-4627 Askøy;1709;2123;2339;2128;1642;1548;1856;2187;2258;2201;2163;1683;1435;1359;1290;1050;541;301;129;43;4
K-4628 Vaksdal;156;240;225;235;201;189;233;239;253;221;229;267;271;255;224;174;120;81;39;20;3
K-4629 Modalen;18;23;28;33;16;19;16;28;24;23;16;28;28;19;21;16;7;14;3;0;0
K-4630 Osterøy;447;506;513;518;465;442;531;521;481;551;549;498;483;440;424;358;193;131;67;32;2
K-4631 Alver;1543;1925;2131;1989;1717;1640;1834;1812;2020;2011;2051;1811;1618;1684;1618;1221;661;376;196;55;7
K-4632 Austrheim;126;163;188;148;172;130;166;159;164;206;169;197;178;163;181;170;105;48;17;4;2
K-4633 Fedje;20;27;31;38;21;12;22;25;28;27;30;46;28;46;40;32;16;15;6;3;0
K-4634 Masfjorden;81;90;108;95;73;78;98;87;86;79;95;112;142;110;100;87;69;32;25;5;2
K-4635 Gulen;96;107;118;150;99;124;121;134;113;130;169;156;179;131;128;125;67;47;22;9;3
K-4636 Solund;26;31;37;42;37;37;36;30;49;41;53;56;64;57;59;46;29;17;8;1;0
K-4637 Hyllestad;37;59;51;70;76;52;47;56;71;91;106;102;86;82;87;90;62;30;10;3;0
K-4638 Høyanger;137;178;216;243;259;200;172;181;196;216;318;328;294;273;240;215;126;94;45;17;1
K-4639 Vik;117;132;148;160;130;127;117;127;130;160;155;153;186;185;176;141;96;83;28;7;3
K-4640 Sogndal;737;749;690;736;883;899;926;849;683;653;776;698;657;645;533;529;282;157;92;24;0
K-4641 Aurland;95;75;71;95;97;103;163;131;83;92;134;133;125;91;106;81;47;29;19;4;1
K-4642 Lærdal;98;101;119;124;124;109;107;117;110;137;155;163;136;147;156;108;55;37;20;3;3
K-4643 Årdal;213;247;282;281;293;298;259;281;294;272;395;438;384;308;280;267;171;118;75;16;0
K-4644 Luster;297;331;312;343;294;278;307;331;284;296;348;347;339;337;273;235;179;98;47;21;5
K-4645 Askvoll;137;166;185;170;150;116;145;152;161;157;173;210;225;210;196;166;97;82;39;9;3
K-4646 Fjaler;144;147;206;354;181;145;156;136;143;142;173;164;154;171;178;144;89;66;16;3;1
K-4647 Sunnfjord;1223;1331;1543;1542;1403;1389;1498;1388;1380;1335;1481;1335;1334;1249;1001;820;470;289;160;37;7
K-4648 Bremanger;147;146;197;237;194;149;153;150;200;214;257;267;245;214;221;197;137;87;51;18;1
K-4649 Stad;498;586;594;607;551;516;564;510;561;539;632;622;635;616;524;410;292;170;79;29;8
K-4650 Gloppen;327;338;362;434;347;253;321;332;325;361;376;357;391;349;385;273;172;116;55;14;4
K-4651 Stryn;344;427;482;484;442;391;416;444;454;448;483;489;452;358;402;334;184;125;65;15;5
K-1505 Kristiansund;1033;1159;1441;1458;1404;1401;1545;1573;1501;1520;1742;1603;1461;1577;1425;1155;630;320;164;44;3
K-1506 Molde;1637;1742;1932;1968;1973;1928;2037;2087;1982;1846;2220;2079;2033;1970;1795;1494;870;499;261;84;9
K-1507 Ålesund;3507;3877;4097;4069;4405;4476;4635;4579;4451;4349;4602;4127;3812;3638;3197;2661;1472;912;499;142;13
K-1511 Vanylven;114;122;160;143;146;149;142;128;149;168;210;259;202;257;244;192;106;78;30;12;2
K-1514 Sande;124;113;124;138;127;92;127;126;153;165;221;182;161;160;140;131;68;57;23;9;1
K-1515 Herøy (Møre og Romsdal);438;473;570;589;438;423;485;581;554;590;660;581;572;518;504;374;240;155;65;30;2
K-1516 Ulstein;484;533;580;625;540;463;528;544;578;595;718;555;484;436;409;327;210;120;56;12;0
K-1517 Hareid;260;340;375;307;248;274;339;381;321;342;320;302;324;301;287;183;120;78;43;14;0
K-1520 Ørsta;613;613;732;673;636;607;678;654;662;648;703;693;680;634;595;481;302;181;110;31;3
K-1525 Stranda;188;204;220;256;260;221;291;274;289;254;327;311;277;258;242;212;148;110;67;10;2
K-1528 Sykkylven;325;409;503;488;465;363;410;464;472;500;555;532;483;464;437;347;224;110;64;14;1
K-1531 Sula;551;696;705;639;510;564;632;699;711;612;664;486;506;500;416;341;171;125;84;24;0
K-1532 Giske;536;643;588;616;478;463;585;615;558;570;554;474;493;469;357;307;206;106;51;20;3
K-1535 Vestnes;313;373;419;441;357;365;430;376;406;443;513;503;454;518;438;347;173;107;55;16;4
