spilleliste,spilleliste_id,artist,artist_id,album,album_id,sang,sang_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,The Bog in the Valley,3KOg3yS2wbBxuGwiwbfzyv,0.598,0.485,0.773,0.0066,2.0,0.787,-5.55,1.0,0.0432,127.133,0.711
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,No Nay Never,0ZLVMb0FKavLfhheZVV7Sx,0.529,0.287,0.61,1.01e-06,7.0,0.35,-7.85,1.0,0.0993,181.465,0.66
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,The Last of the Irish Rover,0aDZ2SVDGg2lj79ze6jVYd,0.324,0.666,0.769,4.74e-06,0.0,0.207,-8.415,1.0,0.0346,128.051,0.692
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,Bonnets of Bonnie Dundee,2BgdEwkD5uUTlwsl3eYHbF,0.119,0.607,0.684,0.0,2.0,0.175,-9.405,1.0,0.0348,102.942,0.553
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Star of the Co. Down,2OMGmdOs3CGFI8LzOsQX27,0.345,0.673,0.77,0.0,7.0,0.319,-7.145,0.0,0.0322,104.393,0.898
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Wild Rover,72dRpQS28j6y9fSN8iwLma,0.48,0.296,0.685,0.0,7.0,0.366,-6.647,1.0,0.0688,181.301,0.763
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,The Overlanders,4HUV4daoI02G9pAAUmwhwa,0.316,0.622,0.969,0.0215,2.0,0.427,-6.101,1.0,0.0501,123.688,0.72
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,The Rake,5ppbnt08AJZHXP873Rarly,0.559,0.615,0.828,0.00945,2.0,0.323,-6.763,0.0,0.0446,99.709,0.722
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Jigs: Willie Hunter's Jig / The Maid on the Green / The Boys of Tandragee / Denis Murphy's Polka,6MBqhP8guf1FikyulYQKYO,0.336,0.626,0.91,0.103,2.0,0.201,-6.472,1.0,0.0918,133.624,0.66
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Bold O’donahue,5Ek7mNRSDqIKhjDTqSmOwg,0.605,0.744,0.901,0.00298,11.0,0.11,-5.765,0.0,0.0924,125.366,0.652
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,The Bonnie Lass of Fyvie,4z7fxPDcPih33X13zsIkZa,0.611,0.698,0.704,4.79e-05,2.0,0.0814,-7.351,1.0,0.0332,120.651,0.958
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,Donald Where's Your Trousers,3gzuSrER3D3Qunaz20bUZn,0.43,0.735,0.666,0.245,7.0,0.0924,-9.64,0.0,0.0873,104.026,0.843
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,Three Jigs,6SoAPgxk2qclpykap1UNo2,0.202,0.567,0.795,0.821,7.0,0.289,-11.262,1.0,0.0804,136.822,0.57
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,The Unicorn,3N2d8Aj46iAKt0VuhF3DzQ,0.474,0.616,0.554,0.0,3.0,0.136,-9.27,1.0,0.0422,124.509,0.899
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers' gems,7vVAdeZyKRAvjLn3TRpjdZ,The Orange and the Green,0Qft5j26I95OGOqCjQMKIb,0.358,0.704,0.854,2.48e-06,2.0,0.084,-8.559,1.0,0.0445,119.286,0.906
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Killiburne Brae,3c600inWfXzQR9WHYMsSII,0.387,0.777,0.783,1.32e-06,7.0,0.0524,-8.484,1.0,0.238,132.415,0.96
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Brady of Strabane,1ByLjvRUJrcCz4IMl1J5wm,0.508,0.726,0.948,0.00795,3.0,0.327,-5.919,1.0,0.0571,119.423,0.894
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Music in the Glen: Sweet Biddy Daly / The Carraroe Jig /Charlie Mulvihill's Reel / Music in the Glen,2E4bDjGDGCGKfBvpL7uN0z,0.177,0.626,0.83,0.29,2.0,0.02,-9.216,1.0,0.0718,135.443,0.909
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Paddy on the Turnpike,0tNtA9qZHVW1edl9ITC7p3,0.029,0.668,0.842,0.000807,11.0,0.0802,-8.077,0.0,0.0762,129.635,0.88
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Boys of Belfast,2mfmvZBs2qPIlctx1XLLAX,0.452,0.697,0.908,0.827,7.0,0.562,-4.912,1.0,0.0475,121.962,0.963
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Shores of Botany Bay,1RPKsQV4kzIg9NfIY3NKYM,0.7,0.655,0.848,0.0,5.0,0.107,-6.854,1.0,0.0412,108.261,0.809
