"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Arbeidsstyrken i prosent av befolkningen";70
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Sysselsatte i prosent av befolkningen";67,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Arbeidsledige i prosent av arbeidsstyrken";3,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M11";"Befolkningen (1000 personer)";1869
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Arbeidsstyrken (1000 personer)";1300
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Sysselsatte (1000 personer)";1244
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";831
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Arbeidsledige (1000 personer)";56
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Arbeidsstyrken i prosent av befolkningen";69,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Sysselsatte i prosent av befolkningen";66,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Arbeidsledige i prosent av arbeidsstyrken";4,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2013M12";"Befolkningen (1000 personer)";1870
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Arbeidsstyrken (1000 personer)";1298
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Sysselsatte (1000 personer)";1247
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";839
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Arbeidsledige (1000 personer)";52
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Arbeidsstyrken i prosent av befolkningen";69,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Sysselsatte i prosent av befolkningen";66,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Arbeidsledige i prosent av arbeidsstyrken";4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M01";"Befolkningen (1000 personer)";1873
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Arbeidsstyrken (1000 personer)";1297
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Sysselsatte (1000 personer)";1256
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";813
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Arbeidsledige (1000 personer)";41
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Arbeidsstyrken i prosent av befolkningen";69,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Sysselsatte i prosent av befolkningen";67
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M02";"Befolkningen (1000 personer)";1875
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Arbeidsstyrken (1000 personer)";1297
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Sysselsatte (1000 personer)";1248
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";810
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Arbeidsledige (1000 personer)";49
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Arbeidsstyrken i prosent av befolkningen";69,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Sysselsatte i prosent av befolkningen";66,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Arbeidsledige i prosent av arbeidsstyrken";3,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M03";"Befolkningen (1000 personer)";1877
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Arbeidsstyrken (1000 personer)";1313
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Sysselsatte (1000 personer)";1267
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";812
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Arbeidsledige (1000 personer)";46
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Arbeidsstyrken i prosent av befolkningen";69,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Sysselsatte i prosent av befolkningen";67,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M04";"Befolkningen (1000 personer)";1878
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Arbeidsstyrken (1000 personer)";1301
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Sysselsatte (1000 personer)";1257
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";814
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Arbeidsledige (1000 personer)";43
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Arbeidsstyrken i prosent av befolkningen";69,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Sysselsatte i prosent av befolkningen";66,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Arbeidsledige i prosent av arbeidsstyrken";3,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M05";"Befolkningen (1000 personer)";1880
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Arbeidsstyrken (1000 personer)";1302
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Sysselsatte (1000 personer)";1258
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";833
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Arbeidsledige (1000 personer)";44
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Arbeidsstyrken i prosent av befolkningen";69,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Sysselsatte i prosent av befolkningen";66,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Arbeidsledige i prosent av arbeidsstyrken";3,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M06";"Befolkningen (1000 personer)";1881
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Arbeidsstyrken (1000 personer)";1305
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Sysselsatte (1000 personer)";1253
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";798
