"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Arbeidsledige (1000 personer)";52
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Arbeidsstyrken i prosent av befolkningen";69,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Sysselsatte i prosent av befolkningen";66,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Arbeidsledige i prosent av arbeidsstyrken";4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M07";"Befolkningen (1000 personer)";1883
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Arbeidsstyrken (1000 personer)";1311
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Sysselsatte (1000 personer)";1265
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";855
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Arbeidsledige (1000 personer)";46
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Arbeidsstyrken i prosent av befolkningen";69,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Sysselsatte i prosent av befolkningen";67,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Arbeidsledige i prosent av arbeidsstyrken";3,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M08";"Befolkningen (1000 personer)";1885
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Arbeidsstyrken (1000 personer)";1308
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Sysselsatte (1000 personer)";1255
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";804
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Arbeidsledige (1000 personer)";52
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Arbeidsstyrken i prosent av befolkningen";69,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Sysselsatte i prosent av befolkningen";66,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Arbeidsledige i prosent av arbeidsstyrken";4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M09";"Befolkningen (1000 personer)";1888
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Arbeidsstyrken (1000 personer)";1304
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Sysselsatte (1000 personer)";1253
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";831
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Arbeidsledige (1000 personer)";51
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Arbeidsstyrken i prosent av befolkningen";69
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Sysselsatte i prosent av befolkningen";66,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Arbeidsledige i prosent av arbeidsstyrken";3,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M10";"Befolkningen (1000 personer)";1891
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Arbeidsstyrken (1000 personer)";1305
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Sysselsatte (1000 personer)";1255
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";824
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Arbeidsledige (1000 personer)";50
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Arbeidsstyrken i prosent av befolkningen";69
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Sysselsatte i prosent av befolkningen";66,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Arbeidsledige i prosent av arbeidsstyrken";3,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M11";"Befolkningen (1000 personer)";1892
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Arbeidsstyrken (1000 personer)";1323
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Sysselsatte (1000 personer)";1274
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";815
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Arbeidsledige (1000 personer)";49
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Arbeidsstyrken i prosent av befolkningen";69,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Sysselsatte i prosent av befolkningen";67,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Arbeidsledige i prosent av arbeidsstyrken";3,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2014M12";"Befolkningen (1000 personer)";1893
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Arbeidsstyrken (1000 personer)";1321
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Sysselsatte (1000 personer)";1267
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";807
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Arbeidsledige (1000 personer)";54
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Arbeidsstyrken i prosent av befolkningen";69,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Sysselsatte i prosent av befolkningen";66,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M01";"Befolkningen (1000 personer)";1894
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Arbeidsstyrken (1000 personer)";1321
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Sysselsatte (1000 personer)";1263
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";822
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Arbeidsledige (1000 personer)";58
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Arbeidsstyrken i prosent av befolkningen";69,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Sysselsatte i prosent av befolkningen";66,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Arbeidsledige i prosent av arbeidsstyrken";4,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M02";"Befolkningen (1000 personer)";1896
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Arbeidsstyrken (1000 personer)";1324
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Sysselsatte (1000 personer)";1269
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";826
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Arbeidsledige (1000 personer)";55
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Arbeidsstyrken i prosent av befolkningen";69,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Sysselsatte i prosent av befolkningen";66,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M03";"Befolkningen (1000 personer)";1898
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Arbeidsstyrken (1000 personer)";1322
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Sysselsatte (1000 personer)";1266
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";838
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Arbeidsledige (1000 personer)";56
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Arbeidsstyrken i prosent av befolkningen";69,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Sysselsatte i prosent av befolkningen";66,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Arbeidsledige i prosent av arbeidsstyrken";4,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M04";"Befolkningen (1000 personer)";1900
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Arbeidsstyrken (1000 personer)";1328
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Sysselsatte (1000 personer)";1274
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";828
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Arbeidsledige (1000 personer)";54
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Arbeidsstyrken i prosent av befolkningen";69,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Sysselsatte i prosent av befolkningen";67
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M05";"Befolkningen (1000 personer)";1901
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Arbeidsstyrken (1000 personer)";1333
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Sysselsatte (1000 personer)";1273
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";832
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Arbeidsledige (1000 personer)";60
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Arbeidsstyrken i prosent av befolkningen";70,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Sysselsatte i prosent av befolkningen";66,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Arbeidsledige i prosent av arbeidsstyrken";4,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M06";"Befolkningen (1000 personer)";1902
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Arbeidsstyrken (1000 personer)";1316
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Sysselsatte (1000 personer)";1252
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";844
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Arbeidsledige (1000 personer)";63
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Arbeidsstyrken i prosent av befolkningen";69,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Sysselsatte i prosent av befolkningen";65,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Arbeidsledige i prosent av arbeidsstyrken";4,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M07";"Befolkningen (1000 personer)";1904
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Arbeidsstyrken (1000 personer)";1321
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Sysselsatte (1000 personer)";1271
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";867
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Arbeidsledige (1000 personer)";51
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Arbeidsstyrken i prosent av befolkningen";69,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Sysselsatte i prosent av befolkningen";66,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Arbeidsledige i prosent av arbeidsstyrken";3,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M08";"Befolkningen (1000 personer)";1906
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Arbeidsstyrken (1000 personer)";1334
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Sysselsatte (1000 personer)";1276
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";828
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Arbeidsledige (1000 personer)";58
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Arbeidsstyrken i prosent av befolkningen";69,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Sysselsatte i prosent av befolkningen";66,9
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Arbeidsledige i prosent av arbeidsstyrken";4,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M09";"Befolkningen (1000 personer)";1908
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Arbeidsstyrken (1000 personer)";1314
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Sysselsatte (1000 personer)";1255
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";818
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Arbeidsledige (1000 personer)";59
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Arbeidsstyrken i prosent av befolkningen";68,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Sysselsatte i prosent av befolkningen";65,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Arbeidsledige i prosent av arbeidsstyrken";4,5
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M10";"Befolkningen (1000 personer)";1910
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Arbeidsstyrken (1000 personer)";1320
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Sysselsatte (1000 personer)";1268
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";830
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Arbeidsledige (1000 personer)";52
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Arbeidsstyrken i prosent av befolkningen";69
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Sysselsatte i prosent av befolkningen";66,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Arbeidsledige i prosent av arbeidsstyrken";4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M11";"Befolkningen (1000 personer)";1912
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Arbeidsstyrken (1000 personer)";1332
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Sysselsatte (1000 personer)";1271
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";839
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Arbeidsledige (1000 personer)";61
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Arbeidsstyrken i prosent av befolkningen";69,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Sysselsatte i prosent av befolkningen";66,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Arbeidsledige i prosent av arbeidsstyrken";4,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2015M12";"Befolkningen (1000 personer)";1913
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Arbeidsstyrken (1000 personer)";1329
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Sysselsatte (1000 personer)";1272
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";823
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Arbeidsledige (1000 personer)";58
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Arbeidsstyrken i prosent av befolkningen";69,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Sysselsatte i prosent av befolkningen";66,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Arbeidsledige i prosent av arbeidsstyrken";4,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M01";"Befolkningen (1000 personer)";1915
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Arbeidsstyrken (1000 personer)";1337
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Sysselsatte (1000 personer)";1273
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";851
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Arbeidsledige (1000 personer)";64
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Arbeidsstyrken i prosent av befolkningen";69,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Sysselsatte i prosent av befolkningen";66,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Arbeidsledige i prosent av arbeidsstyrken";4,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M02";"Befolkningen (1000 personer)";1917
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Arbeidsstyrken (1000 personer)";1323
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Sysselsatte (1000 personer)";1268
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";821
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Arbeidsledige (1000 personer)";54
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Arbeidsstyrken i prosent av befolkningen";69
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Sysselsatte i prosent av befolkningen";66,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M03";"Befolkningen (1000 personer)";1918
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Arbeidsstyrken (1000 personer)";1325
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Sysselsatte (1000 personer)";1268
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";823
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Arbeidsledige (1000 personer)";57
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Arbeidsstyrken i prosent av befolkningen";69,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Sysselsatte i prosent av befolkningen";66,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Arbeidsledige i prosent av arbeidsstyrken";4,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M04";"Befolkningen (1000 personer)";1919
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Arbeidsstyrken (1000 personer)";1331
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Sysselsatte (1000 personer)";1273
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";832
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Arbeidsledige (1000 personer)";58
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Arbeidsstyrken i prosent av befolkningen";69,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Sysselsatte i prosent av befolkningen";66,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Arbeidsledige i prosent av arbeidsstyrken";4,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M05";"Befolkningen (1000 personer)";1920
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Arbeidsstyrken (1000 personer)";1322
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Sysselsatte (1000 personer)";1269
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";813
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Arbeidsledige (1000 personer)";53
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Arbeidsstyrken i prosent av befolkningen";68,8
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Sysselsatte i prosent av befolkningen";66
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Arbeidsledige i prosent av arbeidsstyrken";4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M06";"Befolkningen (1000 personer)";1922
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Arbeidsstyrken (1000 personer)";1332
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Sysselsatte (1000 personer)";1276
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";830
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Arbeidsledige (1000 personer)";57
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Arbeidsstyrken i prosent av befolkningen";69,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Sysselsatte i prosent av befolkningen";66,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Arbeidsledige i prosent av arbeidsstyrken";4,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M07";"Befolkningen (1000 personer)";1923
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Arbeidsstyrken (1000 personer)";1341
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Sysselsatte (1000 personer)";1282
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";831
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Arbeidsledige (1000 personer)";59
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Arbeidsstyrken i prosent av befolkningen";69,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Sysselsatte i prosent av befolkningen";66,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Arbeidsledige i prosent av arbeidsstyrken";4,4
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M08";"Befolkningen (1000 personer)";1925
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Arbeidsstyrken (1000 personer)";1332
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Sysselsatte (1000 personer)";1276
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";836
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Arbeidsledige (1000 personer)";55
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Arbeidsstyrken i prosent av befolkningen";69,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Sysselsatte i prosent av befolkningen";66,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M09";"Befolkningen (1000 personer)";1926
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Arbeidsstyrken (1000 personer)";1342
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Sysselsatte (1000 personer)";1286
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";843
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Arbeidsledige (1000 personer)";56
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Arbeidsstyrken i prosent av befolkningen";69,6
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Sysselsatte i prosent av befolkningen";66,7
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Arbeidsledige i prosent av arbeidsstyrken";4,2
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M10";"Befolkningen (1000 personer)";1928
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Arbeidsstyrken (1000 personer)";1333
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Sysselsatte (1000 personer)";1276
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";863
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Arbeidsledige (1000 personer)";58
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Arbeidsstyrken i prosent av befolkningen";69,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Sysselsatte i prosent av befolkningen";66,1
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Arbeidsledige i prosent av arbeidsstyrken";4,3
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M11";"Befolkningen (1000 personer)";1929
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M12";"Arbeidsstyrken (1000 personer)";1313
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M12";"Sysselsatte (1000 personer)";1263
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";842
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M12";"Arbeidsledige (1000 personer)";50
"2 Kvinner";"15-74 15-74 år";"S Sesongjustert";"2016M12";"Arbeidsstyrken i prosent av befolkningen";68
