"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"Eldre fastpriskontrakter, husholdninger";"2013K2";36.1;43.9;4.1
"Eldre fastpriskontrakter, husholdninger";"2013K3";35.8;43.7;4.2
"Eldre fastpriskontrakter, husholdninger";"2013K4";36.6;44.6;3.5
"Eldre fastpriskontrakter, husholdninger";"2014K1";36.2;44.1;3.6
"Eldre fastpriskontrakter, husholdninger";"2014K2";35.9;43.8;3.4
"Eldre fastpriskontrakter, husholdninger";"2014K3";38.2;46.5;7.0
"Eldre fastpriskontrakter, husholdninger";"2014K4";34.3;41.8;2.6
"Eldre fastpriskontrakter, husholdninger";"2015K1";33.4;40.7;2.1
"Eldre fastpriskontrakter, husholdninger";"2015K2";33.1;40.3;2.3
"Eldre fastpriskontrakter, husholdninger";"2015K3";33.5;40.8;2.1
"Eldre fastpriskontrakter, husholdninger";"2015K4";32.2;39.2;1.7
"Eldre fastpriskontrakter, husholdninger";"2016K1";31.1;37.9;1.7
"Eldre fastpriskontrakter, husholdninger";"2016K2";30.7;37.4;1.7
"Eldre fastpriskontrakter, husholdninger";"2016K3";29.8;36.4;1.5
"Eldre fastpriskontrakter, husholdninger";"2016K4";29.7;36.2;1.4
"Eldre fastpriskontrakter, husholdninger";"2017K1";30.2;36.9;1.6
"Eldre fastpriskontrakter, husholdninger";"2017K2";30.6;37.3;1.5
"Eldre fastpriskontrakter, husholdninger";"2017K3";31.9;38.9;3.6
"Eldre fastpriskontrakter, husholdninger";"2017K4";30.6;37.3;1.4
"Eldre fastpriskontrakter, husholdninger";"2018K1";30.4;37.0;1.5
"Eldre fastpriskontrakter, husholdninger";"2018K2";30.2;36.9;2.0
"Eldre fastpriskontrakter, husholdninger";"2018K3";32.3;39.5;1.7
"Eldre fastpriskontrakter, husholdninger";"2018K4";34.2;41.7;1.9
"Eldre fastpriskontrakter, husholdninger";"2019K1";34.6;42.2;1.5
"Eldre fastpriskontrakter, husholdninger";"2019K2";35.1;42.9;1.9
"Eldre fastpriskontrakter, husholdninger";"2019K3";36.5;44.6;1.9
"Eldre fastpriskontrakter, husholdninger";"2019K4";37.2;45.4;1.8
"Eldre fastpriskontrakter, husholdninger";"2020K1";38.3;46.8;1.7
"Eldre fastpriskontrakter, husholdninger";"2020K2";35.5;43.3;1.9
"Eldre fastpriskontrakter, husholdninger";"2020K3";33.3;40.7;1.7
"Eldre fastpriskontrakter, husholdninger";"2020K4";33.7;41.1;1.5
"Eldre fastpriskontrakter, husholdninger";"2021K1";36.6;44.6;1.6
"Eldre fastpriskontrakter, husholdninger";"2021K2";34.1;41.7;1.9
"Eldre fastpriskontrakter, husholdninger";"2021K3";34.9;42.6;2.0
"Eldre fastpriskontrakter, husholdninger";"2021K4";38.8;47.3;2.0
"Eldre fastpriskontrakter, husholdninger";"2022K1";50.0;61.0;3.3
"Eldre fastpriskontrakter, husholdninger";"2022K2";49.2;60.0;6.1
"Eldre fastpriskontrakter, husholdninger";"2022K3";58.4;71.3;4.4
"Eldre fastpriskontrakter, husholdninger";"2022K4";56.4;68.8;3.9
"Eldre fastpriskontrakter, husholdninger";"2023K1";53.5;65.3;2.8
"Eldre fastpriskontrakter, husholdninger";"2023K2";52.5;64.0;3.2
"Eldre fastpriskontrakter, husholdninger";"2023K3";51.6;62.9;2.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2012K1";33.3;40.6;60.9
"Kontrakter tilknyttet elspotprisen, husholdninger";"2012K2";24.0;29.3;65.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2012K3";17.0;20.7;67.0
