"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2007U05";8257;27.50
"Fersk oppalen laks";"2007U06";7426;27.19
"Fersk oppalen laks";"2007U07";8098;28.91
"Fersk oppalen laks";"2007U08";8584;30.62
"Fersk oppalen laks";"2007U09";8942;28.30
"Fersk oppalen laks";"2007U10";9049;28.22
"Fersk oppalen laks";"2007U11";9449;29.56
"Fersk oppalen laks";"2007U12";10099;29.17
"Fersk oppalen laks";"2007U13";10544;28.78
"Fersk oppalen laks";"2007U14";6351;29.22
"Fersk oppalen laks";"2007U15";8667;29.82
"Fersk oppalen laks";"2007U16";9395;28.76
"Fersk oppalen laks";"2007U17";9062;27.32
"Fersk oppalen laks";"2007U18";8602;27.33
"Fersk oppalen laks";"2007U19";10500;26.99
"Fersk oppalen laks";"2007U20";8723;26.54
"Fersk oppalen laks";"2007U21";9919;26.17
"Fersk oppalen laks";"2007U22";9120;26.17
"Fersk oppalen laks";"2007U23";10068;25.83
"Fersk oppalen laks";"2007U24";9937;25.33
"Fersk oppalen laks";"2007U25";9998;25.21
"Fersk oppalen laks";"2007U26";9379;24.77
"Fersk oppalen laks";"2007U27";9432;24.53
"Fersk oppalen laks";"2007U28";8751;24.87
"Fersk oppalen laks";"2007U29";10250;25.56
"Fersk oppalen laks";"2007U30";7690;25.73
"Fersk oppalen laks";"2007U31";6857;26.33
"Fersk oppalen laks";"2007U32";8199;28.11
"Fersk oppalen laks";"2007U33";8299;28.95
"Fersk oppalen laks";"2007U34";9204;27.52
"Fersk oppalen laks";"2007U35";11755;26.96
"Fersk oppalen laks";"2007U36";9861;26.95
"Fersk oppalen laks";"2007U37";10193;26.43
"Fersk oppalen laks";"2007U38";10452;25.36
"Fersk oppalen laks";"2007U39";9769;24.49
"Fersk oppalen laks";"2007U40";10289;24.77
"Fersk oppalen laks";"2007U41";10399;24.39
"Fersk oppalen laks";"2007U42";10181;23.99
"Fersk oppalen laks";"2007U43";10419;23.69
"Fersk oppalen laks";"2007U44";10324;23.90
"Fersk oppalen laks";"2007U45";11347;23.70
"Fersk oppalen laks";"2007U46";11692;24.22
"Fersk oppalen laks";"2007U47";12571;24.89
"Fersk oppalen laks";"2007U48";13049;25.14
"Fersk oppalen laks";"2007U49";13712;25.17
"Fersk oppalen laks";"2007U50";15381;25.21
"Fersk oppalen laks";"2007U51";13180;25.98
"Fersk oppalen laks";"2007U52";3704;28.79
"Fersk oppalen laks";"2008U01";5833;29.00
"Fersk oppalen laks";"2008U02";9909;26.77
"Fersk oppalen laks";"2008U03";8979;25.07
"Fersk oppalen laks";"2008U04";8883;24.69
"Fersk oppalen laks";"2008U05";9599;25.18
"Fersk oppalen laks";"2008U06";9034;25.35
"Fersk oppalen laks";"2008U07";9617;26.14
"Fersk oppalen laks";"2008U08";9710;25.92
"Fersk oppalen laks";"2008U09";9878;24.94
"Fersk oppalen laks";"2008U10";10872;25.71
"Fersk oppalen laks";"2008U11";12246;26.96
"Fersk oppalen laks";"2008U12";7122;28.03
"Fersk oppalen laks";"2008U13";8071;27.21
"Fersk oppalen laks";"2008U14";9656;26.41
"Fersk oppalen laks";"2008U15";9157;26.13
"Fersk oppalen laks";"2008U16";9729;25.60
"Fersk oppalen laks";"2008U17";8814;25.47
"Fersk oppalen laks";"2008U18";8704;26.87
"Fersk oppalen laks";"2008U19";10724;28.61
"Fersk oppalen laks";"2008U20";9294;27.35
"Fersk oppalen laks";"2008U21";10176;25.96
"Fersk oppalen laks";"2008U22";10394;25.23
"Fersk oppalen laks";"2008U23";9633;25.33
"Fersk oppalen laks";"2008U24";10872;27.28
"Fersk oppalen laks";"2008U25";10353;27.18
